iter	Passed	Remaining
340	1781	1353
341	1786	1348
342	1791	1342
343	1796	1337
344	1801	1331
345	1806	1326
346	1812	1321
347	1817	1316
348	1822	1310
349	1826	1304
350	1832	1299
351	1837	1294
352	1842	1289
353	1847	1284
354	1853	1279
355	1858	1273
356	1863	1268
357	1868	1262
358	1873	1257
359	1877	1251
360	1882	1246
361	1887	1240
362	1891	1235
363	1896	1229
364	1901	1224
365	1906	1218
366	1911	1213
367	1916	1207
368	1921	1202
369	1925	1197
370	1930	1191
371	1935	1186
372	1940	1181
373	1945	1175
374	1950	1170
375	1954	1164
376	1959	1159
377	1964	1153
378	1968	1148
379	1973	1142
380	1978	1137
381	1983	1131
382	1987	1126
383	1993	1121
384	1999	1116
385	2003	1110
386	2009	1105
387	2014	1100
388	2019	1095
389	2024	1090
390	2030	1085
391	2035	1080
392	2040	1074
393	2046	1070
394	2051	1064
395	2057	1059
396	2063	1055
397	2068	1050
398	2074	1044
399	2079	1039
400	2085	1034
401	2090	1029
402	2095	1024
403	2101	1019
404	2107	1014
405	2112	1009
406	2118	1004
407	2124	999
408	2128	994
409	2135	989
410	2140	984
411	2145	979
412	2150	973
413	2156	968
414	2161	963
415	2165	957
416	2170	952
417	2175	947
418	2180	941
419	2184	936
420	2189	930
421	2194	925
422	2199	920
423	2204	915
